,Date,ID,URL,Username,Source,Location,text,Num_Of_Likes,Num_Of_Retwwet
770,2022-12-12 11:25:11+00:00,1.60226E+18,https://twitter.com/IshkaTeam/status/1602263287768530944,IshkaTeam,Twitter Web App,London | New York | Tokyo,"In this week's Ishka View Extra: Airline Credit Profiles, we turn our attention to the major European LCCs - Ryanair, WizzAir, easyJet and Jet2, &amp; review their performance during Sept 2022 ➜ https://t.co/dHQdP1yiKb

Access, read, download &amp; listen to all reports on our website! https://t.co/vEmXRbV4Ra",0,0
771,2022-12-12 10:10:04+00:00,1.60224E+18,https://twitter.com/MoWT_Uganda/status/1602244386628280322,MoWT_Uganda,Twitter for Android,"Kampala, Uganda","@RobinahNabbanja at the 2nd Annual ITIS performance review workshop. 
""@GovUganda recognizes the notable steady progress registered under the Programme. 
@OPMUganda
@KCCAUG 
@UNRA_UG 
@UG_Airlines https://t.co/8MK4Nm8PYO",30,15
772,2022-12-12 06:50:12+00:00,1.60219E+18,https://twitter.com/TechyOps/status/1602194088933163010,TechyOps,Jetpack.com,"NY , USA","Airline review: American Airlines, Boeing 777-200 economy class, Buenos Aires to New York City https://t.co/AJCc2oQ1tW",0,0
773,2022-12-12 06:17:34+00:00,1.60219E+18,https://twitter.com/fioreconstanzo/status/1602185873302335488,fioreconstanzo,Twitter for iPhone,"Temuco - Santiago, Chile","Help us, and call to the front desk saying that we have enough time for do it bc the flight was delayed but take us like a whole hour total. And then they change the flight time 3 differents times. I heard about this shitty airlines and people bad reviews but i never imagine+",0,0
774,2022-12-12 04:39:05+00:00,1.60216E+18,https://twitter.com/PrimeSiteUK/status/1602161093228511233,PrimeSiteUK,FS_Poster_App,United Kingdom,"#TravelPro manufactures 🧳 #suitcases, #luggage that withstands journeys, either for business or pleasure by air, land, or sea and for the first year, covers damage by airline carriers.

✨ SEE REVIEW : https://t.co/JfBNzSfnRH

🔎 SEE OFFER : https://t.co/G7YWwUL48u https://t.co/y3Laj1m9bU",0,0
775,2022-12-12 03:40:13+00:00,1.60215E+18,https://twitter.com/flightwit/status/1602146277344645123,flightwit,SocialOomph,800 332-7359 • Get free app at,Read this review of the great free SOAR Fear of Flying App https://t.co/o7Phxk1SlV #RT #allTech #travel #airlines https://t.co/ehMYy3yqws,0,0
776,2022-12-12 03:23:43+00:00,1.60214E+18,https://twitter.com/xpidginx/status/1602142124614602752,xpidginx,Twitter for iPhone,,"@Donger_Airlines @CMorr81 @TheQuartering @shoe0nhead Maybe, but I don’t remember how I found her channel. I’m sure it didn’t hurt that she is nice to look at. I think it’s when she was doing the review of the feminist version of monopoly.",0,0
777,2022-12-11 21:40:15+00:00,1.60206E+18,https://twitter.com/M1ttRomney/status/1602055687445442560,M1ttRomney,Twitter for iPhone,,"@DrJBhattacharya @elonmusk maybe you could talk about how you took money from the airline industry to push the narrative that we don’t need lockdowns?  

or how you publish flawed papers without peer review?",1,0
778,2022-12-11 21:09:01+00:00,1.60205E+18,https://twitter.com/M1ttRomney/status/1602047826426355712,M1ttRomney,Twitter for iPhone,,"4B) dr jay was known to already spread covid misinfo. when his findings actually went to scientific review, they not only got demolished by peers, but it was also discovered that it was funded by the airline industry. 

https://t.co/o8r3AuZVfl",1,0
779,2022-12-11 17:05:19+00:00,1.60199E+18,https://twitter.com/Money_Review_/status/1601986500995989504,Money_Review_,Twitter Web App,"Athens, Greece","Μια τέτοια συμφωνία θα μπορούσε να ξεπεράσει τα 100 δισ. δολάρια σε τιμές καταλόγου, επισκιάζοντας μια συνδυασμένη παραγγελία για 460 αεροσκάφη Airbus και Boeing από την American Airlines πριν από μια δεκαετία. #moneyreview https://t.co/TuUJ5ZHHFs",0,0
